title	url
GitHub — mine	https://github.com/shrey99sh?tab=repositories
GitHub — notifications	https://github.com/notifications
GitHub — PRs assigned	https://github.com/pulls
Claude	https://claude.ai
Claude Code docs	https://docs.claude.com/en/docs/claude-code
Anthropic Console	https://console.anthropic.com
AeroSpace guide	https://nikitabobko.github.io/AeroSpace/guide
Ghostty config reference	https://ghostty.org/docs/config/reference
tmux manual	https://man7.org/linux/man-pages/man1/tmux.1.html
fish docs	https://fishshell.com/docs/current/
Neovim docs	https://neovim.io/doc/user/
yazi docs	https://yazi-rs.github.io/docs/quick-start
